corpus,workflow,field,gold_acc,second_acc,delta_second_minus_gold,n
pilot,balanced__qwen3_coder_30b__guided,horizon_max_value,0.900,0.900,0.000,50
pilot,balanced__qwen3_coder_30b__guided,horizon_min_value,0.840,0.840,0.000,50
pilot,balanced__qwen3_coder_30b__guided,horizon_type,0.700,0.700,0.000,50
pilot,balanced__qwen3_coder_30b__guided,horizon_unit,0.880,0.880,0.000,50
pilot,balanced__qwen3_coder_30b__guided,node_unit,0.800,0.840,0.040,50
pilot,balanced__qwen3_coder_30b__guided,target_class,0.740,0.720,-0.020,50
pilot,balanced__qwen3_coder_30b__guided,task_class,0.880,0.900,0.020,50
pilot,balanced__qwen3_coder_30b__guided,venue_type,0.740,0.740,0.000,50
pilot,balanced__qwen3_coder_30b__guided,year,0.820,0.860,0.040,50
pilot,balanced__qwen3_coder_30b__hybrid,coding_status,0.700,0.700,0.000,50
pilot,balanced__qwen3_coder_30b__hybrid,confidence,0.540,0.540,0.000,50
pilot,balanced__qwen3_coder_30b__hybrid,dataset_family,0.660,0.640,-0.020,50
pilot,balanced__qwen3_coder_30b__hybrid,domain_class,0.900,0.900,0.000,50
pilot,balanced__qwen3_coder_30b__hybrid,frequency_unit,0.800,0.860,0.060,50
pilot,balanced__qwen3_coder_30b__hybrid,frequency_value,0.780,0.860,0.080,50
pilot,balanced__qwen3_coder_30b__hybrid,graph_node_count_max,0.760,0.780,0.020,50
pilot,balanced__qwen3_coder_30b__hybrid,graph_node_count_min,0.720,0.740,0.020,50
pilot,balanced__qwen3_coder_30b__hybrid,graph_node_count_status,0.840,0.900,0.060,50
pilot,balanced__qwen3_coder_30b__hybrid,has_public_code,0.820,0.900,0.080,50
pilot,balanced__qwen3_coder_30b__hybrid,has_public_dataset,0.380,0.420,0.040,50
pilot,balanced__qwen3_coder_30b__hybrid,horizon_max_value,0.880,0.880,0.000,50
pilot,balanced__qwen3_coder_30b__hybrid,horizon_min_value,0.680,0.680,0.000,50
pilot,balanced__qwen3_coder_30b__hybrid,horizon_type,0.360,0.360,0.000,50
pilot,balanced__qwen3_coder_30b__hybrid,horizon_unit,0.860,0.860,0.000,50
pilot,balanced__qwen3_coder_30b__hybrid,node_unit,0.740,0.760,0.020,50
pilot,balanced__qwen3_coder_30b__hybrid,target_class,0.660,0.680,0.020,50
pilot,balanced__qwen3_coder_30b__hybrid,task_class,0.860,0.880,0.020,50
pilot,balanced__qwen3_coder_30b__hybrid,venue_type,0.720,0.720,0.000,50
pilot,balanced__qwen3_coder_30b__hybrid,year,0.820,0.880,0.060,50
holdout,holdout_w10_schema_v4_access,coding_status,0.650,0.650,0.000,20
